Feature,dMPFC_r,lAI_r,lDLPFC_r,lIPL_r,lTPJ_r,Precuneus_r,rAI_r,rIFG_r,rTPJ_r
Sequence Recall/Learning,-0.0048905816907293,-0.0077796755772391,-0.0166420877261351,0.014524261883735,-0.0168060980514165,-0.0051379291411623,-0.0225529644778579,-0.0094377614112008,-0.0171414626780411
Sexual Arousal/Gratification,-0.0085857795252299,0.0486930909074784,-0.0065037914759146,-0.004794523719507,0.0054133779505912,0.0282826469984839,0.0325360566105629,0.0059015551116886,0.0163646870965776
Stroop-Color Word,0.0848240269753311,0.0310107822473607,0.0730070480030689,0.0208832903403588,-0.0003720699029373,0.0141089225470219,0.011119963209232,0.0479316376006741,0.0160609641873712
Stroop-Counting,-0.0058906230728256,-0.0089326585969458,0.0108647240341872,0.0372089902497954,-0.0056237106172264,-0.0063259581300856,-0.0092257729931648,0.0066966867735282,-0.0083855457005578
Stroop-Emotional,0.0082018828049402,-0.0133564342857282,-0.0064178105873072,0.0283098939884077,0.0024796286260447,0.0110914049590573,-0.0120466880974285,-0.0010360719901237,-0.0122427434931869
Stroop-Other,0.0131346088025309,0.0229044098742342,0.01867347210853,-0.0124373843798986,-0.0066200637470027,-0.0047149891728571,0.017783926609427,0.0057848655072812,-1.3308114903697988e-05
Syntactic Discrimination,-0.0175905734017809,-0.0046324423229036,-0.0106626155768414,-0.0161751261175802,0.0460562905100219,0.0004607496687473,-0.0154255848969512,-0.0132610371904701,-0.0089752231299758
Tactile Monitor/Discrimination,-0.0217669905086847,-0.0256140463112444,0.0002075664029457,-0.0154343378092551,-0.0026950845032387,-0.0331350793243423,0.0002249546455701,-0.00657231666317,-0.0151246927987607
Task Switching,0.0036883422003156,0.00028816021072,0.0384122679524021,0.0420062105536595,-0.0014029804197303,-0.007940117882204,0.0022476258990827,0.0159363703236845,-0.0050152070940776
Taste,-0.0118125607845532,0.0110916273517365,-0.0309512147076518,-0.0351687505583155,-0.0229417616790946,-0.031767197868821,0.0374353369184596,-0.0222961446491644,-0.034837735738352
Theory of Mind,0.0691379079699203,-0.0261386533856205,-0.0466932381290736,-0.0441907729417337,0.1506502223424881,0.1283374587582264,-0.0312844873267397,-0.0169300888810933,0.1164220620588761
Thirst Induction,-0.0057581853107682,0.0001105361220154,-0.0017341619506317,-0.0077769344267271,0.0082813478028299,0.0149242126622946,0.0024970836519882,0.0049320950360668,-0.0005356674691043
Tone Monitor/Discrimination,-0.0049080543872979,0.0300487555990388,0.0246598437491008,0.0366390711767673,-0.0095568443770579,-0.0109486750846227,0.0167592020029298,0.0388889485177997,0.0436117606926271
Tower of London,0.0191036759779463,0.0164400545774245,0.0123957658364418,-0.0054567788212458,-0.0066509689887452,0.0035211980268336,0.0092951352157068,-0.0154214878543945,-0.0113063990514632
Transcranial Magnetic Stimulation,-2.527503671540097e-05,-0.0120331671636336,-0.0192989466948967,-0.0213394183123749,-0.0166183978423286,-0.0134205300873572,-0.0194715577393026,-0.0158908164227481,-0.0131510401725089
Trauma Recall,0.0206344068409353,-0.00998766967155,0.0401578022712926,-0.0082976434609259,0.0010635497682949,-0.003737013968088,0.0098586439543555,0.0102235215689632,-0.0068299406683872
Vibrotactile Monitor/Discrimination,-0.054369056204084,-0.0511479526972883,-0.0424734521940564,-0.0424931429648032,-0.0320949589974447,-0.0346908067873437,-0.0370987249130586,-0.0455664556458,-0.0480152118407089
Video Games,-0.019485980719839,-0.0070615156698492,-0.0172557362893009,-0.0153121316669781,-0.0053645057109034,-0.0109588215504188,-0.0039685979821974,-0.0130254741559703,0.0352082232660851
Visual Motion,0.0158410521363488,0.0014214300517001,-0.0072422144880408,-0.0064264856591564,-0.0048699575122627,-0.0054780818955196,0.0069536151443033,-0.006891280647065,0.0098096056769489
Visual Object Identification,-0.0422691299657347,-0.0173860579447672,0.0245108791448799,0.0172918808888467,-0.0078137101574255,-0.0038618111016393,-0.0245236427610869,0.0103720991559772,0.0280939063988292
Visual Pursuit/Tracking,-0.0299002394330156,-0.0259744132693762,-0.0032980827558551,0.0414313413317975,-0.0221194328496486,0.0033648474576629,-0.0271356566066326,-0.013378818284785,0.0038878497581732
Visuospatial Attention,-0.0075759151051563,-0.0185336526914976,-0.0065507489199782,0.031104987207001,-0.003598951088352,0.0273966491457422,0.0224106243204177,0.0178633240906543,0.0170329542770709
Whistling,-0.0097154598385206,-0.0089326585969458,-0.0067150339965984,-0.0074211521439043,0.016193056717391,0.031436368544049,-0.008597533611752,-0.0079578862944085,0.0070320542472912
Wisconsin Card Sorting Test,0.0200386262880702,0.0068627397526619,0.0383817245255617,0.0724229342502942,0.0028087839919886,0.0109231875393164,0.0079389162814428,0.0347939422232241,0.0145580304170389
Word Generation (Covert),-0.014569482443025,0.0390129912055876,0.0835311780266936,0.031800174844093,0.0160183842285629,-0.0093839505921816,0.0027269182041184,-0.0038530343027186,0.0031583958082686
Word Generation (Overt),0.0005319689191435,0.0382516294754139,0.0191770301762195,0.0057468972647507,0.0234287940283085,-0.0056678456883047,-0.0110989669690324,-0.0211847250855686,-0.0282241180430953
Word Stem Completion (Covert),0.0006921373507114,0.0287532092784056,0.0462814867013193,-0.0070302659540388,-0.0065224375867151,-0.0077486992032767,0.0196858595696233,0.0141862943931165,-0.0081408722578136
Word Stem Completion (Overt),0.0012959469932014,0.0131202028679225,0.0268038707611178,-0.0054859006993865,-0.0105278923264921,-0.0082268398492839,0.0060492002577935,0.0021453802349142,-0.0111309315257283
Writing,-0.0144303880622886,-0.0126359956543285,0.0040035912634166,0.0025405114432112,-0.0079552108870218,-0.0089485989611824,-0.0130506305803859,-0.0112570983814568,-0.0117502149846267
n-back,0.0155642143255175,0.0009591977618156,0.0738220174252939,0.0776698926654997,-0.0139906753370485,0.0228712257263171,0.0016999191845581,0.0228113920115126,0.007638744938902
